Date,Domestic Fire,Total Fire
1-Jan-03,35,81
1-Feb-03,30,60
1-Mar-03,30,67
1-Apr-03,12,32
1-May-03,28,47
1-Jun-03,20,29
1-Jul-03,22,33
1-Aug-03,18,33
1-Sep-03,16,34
1-Oct-03,30,53
1-Nov-03,24,37
1-Dec-03,30,53
1-Jan-04,34,55
1-Feb-04,45,97
1-Mar-04,34,65
1-Apr-04,27,39
1-May-04,21,36
1-Jun-04,24,35
1-Jul-04,34,48
1-Aug-04,30,39
1-Sep-04,21,28
1-Oct-04,25,35
1-Nov-04,16,34
1-Dec-04,24,42
1-Jan-05,64,131
1-Feb-05,28,87
1-Mar-05,32,61
1-Apr-05,35,56
1-May-05,18,31
1-Jun-05,14,26
1-Jul-05,21,35
1-Aug-05,21,37
1-Sep-05,27,43
1-Oct-05,15,34
1-Nov-05,13,30
1-Dec-05,24,40
1-Jan-06,26,60
1-Feb-06,25,53
1-Mar-06,23,48
1-Apr-06,18,35
1-May-06,28,43
1-Jun-06,26,40
1-Jul-06,22,37
1-Aug-06,22,49
1-Sep-06,22,34
1-Oct-06,22,45
1-Nov-06,33,56
1-Dec-06,39,70
1-Jan-07,59,156
1-Feb-07,33,64
1-Mar-07,49,94
1-Apr-07,42,71
1-May-07,42,60
1-Jun-07,30,50
1-Jul-07,21,38
1-Aug-07,27,50
1-Sep-07,18,34
1-Oct-07,22,44
1-Nov-07,22,49
1-Dec-07,30,60
1-Jan-08,39,117
1-Feb-08,41,104
1-Mar-08,36,79
1-Apr-08,32,59
1-May-08,31,61
1-Jun-08,20,42
1-Jul-08,25,44
1-Aug-08,24,43
1-Sep-08,26,40
1-Oct-08,20,35
1-Nov-08,25,53
1-Dec-08,24,58
1-Jan-09,46,121
1-Feb-09,26,58
1-Mar-09,38,78
1-Apr-09,28,54
1-May-09,19,40
1-Jun-09,24,42
1-Jul-09,23,33
1-Aug-09,24,42
1-Sep-09,23,46
1-Oct-09,24,42
1-Nov-09,27,46
1-Dec-09,29,59
1-Jan-10,25,66
1-Feb-10,39,100
1-Mar-10,31,77
1-Apr-10,27,56
1-May-10,28,55
1-Jun-10,13,40
1-Jul-10,16,36
1-Aug-10,15,25
1-Sep-10,15,37
1-Oct-10,20,40
1-Nov-10,24,40
1-Dec-10,31,57
1-Jan-11,29,71
1-Feb-11,32,80
1-Mar-11,22,48
1-Apr-11,29,55
1-May-11,20,59
1-Jun-11,36,73
1-Jul-11,23,50
1-Aug-11,25,53
1-Sep-11,33,57
1-Oct-11,20,69
1-Nov-11,27,69
1-Dec-11,47,85
1-Jan-12,70,165
1-Feb-12,50,132
1-Mar-12,43,82
1-Apr-12,37,79
1-May-12,21,54
1-Jun-12,28,58
1-Jul-12,29,62
1-Aug-12,28,63
1-Sep-12,27,54
1-Oct-12,41,75
1-Nov-12,34,66
1-Dec-12,43,80
1-Jan-13,67,218
1-Feb-13,54,163
1-Mar-13,31,96
1-Apr-13,39,82
1-May-13,39,78
1-Jun-13,32,60
1-Jul-13,25,47
1-Aug-13,13,43
1-Sep-13,26,49
1-Oct-13,37,72
1-Nov-13,31,58
1-Dec-13,55,108
1-Jan-14,42,102
1-Feb-14,35,92
1-Mar-14,37,99
1-Apr-14,37,76
1-May-14,26,53
1-Jun-14,23,40
1-Jul-14,17,45
1-Aug-14,24,48
1-Sep-14,27,44
1-Oct-14,24,47
1-Nov-14,27,57
1-Dec-14,48,107
1-Jan-15,69,219
1-Feb-15,36,84
1-Mar-15,40,112
1-Apr-15,40,96
1-May-15,24,57
1-Jun-15,27,56
1-Jul-15,41,75
1-Aug-15,32,68
1-Sep-15,31,57
1-Oct-15,42,79
1-Nov-15,41,88
1-Dec-15,87,207
